Age,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
30,167.718286,156.742506,139.877057,147.545968,132.04892,118.709031,114.024632,114.537427,106.173227,104.209533,98.095514,99.071778,97.9728,98.917974,99.565089,101.038742,101.940894,102.821918,103.685268,103.479097,102.717302,100.060782,103.860714,100.412431,100.607009,101.874498,100.088374,98.889208,99.808898,97.867176,96.659195,95.703375,93.789436,95.732715,88.719975,88.664575,85.70151,84.21032,..
31,135.373859,129.987668,123.765864,109.325327,114.001446,102.419195,91.184721,89.641879,87.986436,88.222726,83.760096,82.156279,80.860191,82.986065,85.683733,87.199933,89.268616,91.900495,91.921332,91.625532,96.004747,97.512589,98.273249,96.920473,101.934614,102.197576,101.393371,101.245929,104.157367,103.5045,102.89722,102.290555,98.949682,101.34304,96.366102,93.752927,93.554806,91.440451,..
32,121.419951,117.295049,110.461209,104.179243,88.110447,93.447472,83.772665,76.648386,73.761803,75.0884,74.915085,70.379817,70.106321,70.373189,71.742839,75.202659,75.955256,80.90871,80.529667,80.508209,83.605993,88.921026,91.024518,90.226804,95.168951,100.744653,97.94232,100.571859,102.780606,104.040289,104.736591,103.149189,101.273216,103.148208,97.791641,98.676886,96.562723,95.374653,..
33,97.225788,103.419391,99.458543,92.795184,84.220261,72.60375,74.997557,71.941594,63.524141,62.496444,62.451793,62.110171,59.278901,59.207751,59.227445,60.92243,64.136666,66.737534,69.196573,68.592457,71.935477,75.069446,81.941688,83.349806,85.758286,91.024844,93.523569,92.518314,96.81643,98.04333,99.918658,100.828193,98.037324,101.547746,97.399139,96.825924,97.102373,94.063744,..
34,87.136403,80.289472,87.046797,83.640311,75.16423,70.011403,58.56098,64.111294,59.957559,53.672351,52.448306,51.870821,51.499735,49.06034,49.256945,49.470872,52.441369,55.701177,55.343722,58.025491,59.704339,62.973757,68.087181,73.737682,76.33388,79.665852,81.737908,84.229103,87.558197,91.679508,92.139414,94.427892,93.16453,96.399619,93.687788,94.102962,94.049443,92.328808,..
35,91.890829,79.001961,66.465979,72.841177,66.933194,61.873059,55.771596,49.85421,52.137384,50.408195,44.915575,43.130756,43.025566,42.528327,41.022451,41.300735,41.917116,44.457838,45.992181,46.328774,49.562554,50.918155,55.001998,57.40489,64.541981,67.587312,70.120664,72.152033,76.059562,77.508133,80.996591,83.727879,85.009841,87.881542,84.242684,85.979198,87.083127,86.819263,..
36,66.09578,74.800978,65.61086,56.00778,58.257302,54.422247,49.283929,47.376541,40.218856,44.040582,40.569348,36.000114,35.398266,34.378656,33.372981,33.081372,32.622411,34.292681,35.351787,37.166074,38.34717,40.861587,43.521651,45.495312,49.299371,54.958911,56.771242,57.607716,61.824074,64.515271,65.154586,69.093146,72.204308,74.710803,73.168499,74.703956,76.176238,74.849488,..
37,61.36502,54.728487,60.898914,53.429974,44.032483,45.252514,42.297871,40.181313,36.873861,32.131322,35.082621,32.131977,28.270756,26.474368,26.70798,26.766669,26.205197,26.487994,26.027176,27.385204,28.832675,30.284844,32.950277,34.057933,37.007272,40.093751,43.411947,44.416613,47.361711,49.141436,51.448602,52.890152,55.231951,60.462582,60.729026,60.651541,62.646711,62.673226,..
38,56.970348,50.037579,44.475924,48.785433,42.352416,33.153836,34.927441,33.849958,31.425034,29.503112,25.134782,26.466043,24.2422,21.768607,20.184617,20.544047,20.33923,19.971137,20.013648,20.305919,21.218214,22.358873,23.450351,25.406426,27.447908,29.153621,31.193462,33.466791,35.569547,37.184833,38.583886,40.88417,40.882731,45.37416,47.08192,48.2476,49.280847,49.974132,..
39,47.805907,45.873819,40.166497,34.184765,36.924795,32.968055,25.543957,27.543091,26.283446,24.164522,22.094364,18.718101,20.086949,17.284835,15.761585,15.000919,14.93814,15.735311,15.485608,15.112507,14.201082,15.266429,17.383563,18.046593,20.228015,21.133168,21.891263,23.484015,26.027581,27.323761,28.245431,29.856874,31.021802,33.004316,35.093383,37.352753,37.97639,37.94956,..
40,40.416318,38.643803,35.179099,31.354699,25.351916,29.22663,24.557172,20.643332,20.638952,19.819908,17.600856,16.194264,13.483995,14.208014,12.663552,10.699477,10.988427,11.23297,10.745142,10.362102,10.466135,10.549539,11.574877,11.94547,13.117321,14.380834,15.06366,16.025023,17.30262,18.527478,18.934305,20.518852,21.389755,23.200221,23.325703,25.985338,27.428204,28.549442,..
41,28.972423,26.567257,25.952383,23.756227,19.290286,15.975447,18.256349,16.92665,13.04215,14.036615,13.068477,11.351361,10.019211,8.109353,8.862745,8.183353,7.626369,7.287684,6.805971,7.105769,6.56512,6.796902,7.189662,7.415544,8.562007,8.561598,9.65874,9.987215,11.084116,11.404023,12.570839,12.634844,13.561085,14.99374,15.89323,15.842127,17.527815,19.013571,..
42,21.439523,20.185956,18.469568,17.617318,16.050928,13.60476,11.237168,12.529572,10.540893,8.19483,8.831435,8.124739,7.342585,6.487992,5.45197,5.193585,5.129857,4.482893,4.467834,4.107354,4.216947,4.161591,4.344747,4.609288,4.889713,5.251797,5.73596,6.39841,6.52893,6.817729,7.51801,8.046553,8.277405,9.516172,9.468779,9.903491,10.611184,11.914644,..
43,14.796201,13.211336,12.36755,11.002769,10.129811,9.496672,7.625288,6.738246,7.228278,6.643175,5.298244,5.198432,4.624874,4.063957,3.677934,3.187261,3.319122,3.038184,2.681327,2.500784,2.445107,2.471627,2.499009,2.428213,2.954991,2.993085,3.249638,3.121966,3.752704,3.96744,4.087747,4.827618,4.90982,5.219533,5.781316,6.006223,6.076255,6.375368,..
44,9.685927,8.09956,7.579875,6.861426,6.228906,5.890662,5.041681,4.509762,3.73219,4.419659,3.480905,2.656683,2.80218,2.485335,2.342818,1.913008,1.514176,1.669181,1.510063,1.376583,1.216921,1.29877,1.296418,1.315166,1.444949,1.59779,1.753439,1.868126,2.014264,2.129444,2.369959,2.610584,2.976328,3.351186,3.272133,3.407794,3.410829,3.889158,..
45,5.266747,4.571,4.419387,3.844933,3.457872,3.366791,2.747843,2.697766,2.34995,2.051094,2.140638,1.739375,1.326511,1.32833,1.164285,1.056731,0.948822,0.787934,0.770499,0.754739,0.747219,0.62637,0.711732,0.612831,0.709875,0.838847,0.892321,1.001088,1.068084,1.016405,1.229136,1.547488,1.768006,1.584726,1.974251,2.004224,1.848877,2.134349,..
46,2.669823,2.366515,2.390541,2.001001,1.675929,1.578689,1.288351,1.551205,1.321997,1.115295,0.9017,0.957555,0.773753,0.555426,0.489203,0.51819,0.457567,0.394691,0.297021,0.271891,0.309266,0.26118,0.288464,0.316634,0.311344,0.383763,0.431085,0.393706,0.409598,0.549472,0.552259,0.911343,0.93052,0.947213,1.02423,1.091662,1.045041,1.178051,..
47,1.128914,1.128966,1.01157,1.124428,0.944291,0.827539,0.746842,0.734729,0.691773,0.660412,0.556701,0.392381,0.390096,0.33236,0.256849,0.228983,0.210131,0.228825,0.176394,0.160916,0.119476,0.160792,0.118262,0.150076,0.206432,0.21045,0.207847,0.22994,0.263617,0.259582,0.246123,0.352742,0.503068,0.543056,0.617785,0.540599,0.594173,0.559929,..
48,0.69103,0.561923,0.516148,0.468141,0.5335,0.440152,0.338007,0.288738,0.275272,0.344645,0.30528,0.228166,0.184274,0.174929,0.131216,0.109611,0.096286,0.071569,0.133904,0.075636,0.041276,0.070034,0.061811,0.069243,0.121377,0.076543,0.110466,0.169235,0.171851,0.118255,0.17936,0.250864,0.237105,0.321031,0.398132,0.341357,0.30053,0.333589,..
49,1.087455,0.934579,0.688534,0.66226,0.667794,0.881451,0.649297,0.686474,0.688419,0.6288,0.735737,0.522958,0.326315,0.244755,0.288825,0.268097,0.21477,0.188129,0.179049,0.103728,0.088286,0.049543,0.078255,0.065863,0.117871,0.149107,0.212273,0.207915,0.228784,0.274408,0.294842,0.312658,0.325149,0.493001,0.492827,0.601446,0.560785,0.599165,..
